Data,Polaridade,Subjetividade,qtde
20130102,2.5,7.333333333333333,4
20130103,0.0,1.0,1
20130107,0.23636363636363641,3.0545454545454547,2
20130108,-0.1,2.1,2
20130109,1.8,4.0,2
20130110,0.15454545454545457,2.731818181818182,2
20130111,0.5,3.6,2
20130114,0.5,2.5,2
20130115,0.85,3.8535714285714286,3
20130116,0.375,2.8,2
20130117,0.2625,2.45,2
20130118,0.0,2.0,2
20130121,0.03484848484848482,6.0606060606060606,4
20130122,0.0,2.0,2
20130123,0.25,3.25,3
20130124,0.4666666666666666,2.4333333333333336,2
20130125,0.6166666666666667,2.6666666666666665,2
20130128,0.5528409090909091,2.6553030303030303,2
20130129,0.8,3.0,2
20130130,0.2,2.625,2
20130131,0.07083333333333333,2.4291666666666667,2
20130201,0.3,3.4,3
20130204,1.1166666666666667,6.133333333333333,5
20130205,0.0,2.0,2
20130206,0.85,3.15,2
20130207,0.0,2.0,2
20130208,0.01666666666666667,1.0958333333333332,1
20130212,0.5,1.5,1
20130213,0.35,1.3,1
20130214,0.6666666666666666,2.7,2
20130215,0.0,1.0,1
20130218,0.2,2.2,2
20130219,0.1,1.4,1
20130220,0.0,1.0,1
20130221,0.08333333333333343,3.0,2
20130222,0.9916666666666667,3.2,2
20130225,1.475,3.75,2
20130226,0.0,2.0,2
20130227,0.0625,2.75,2
20130228,0.0,2.0,2
20130301,1.0,3.0,2
20130304,1.7333333333333334,5.65,4
20130305,2.55,9.6,7
20130306,2.166666666666667,6.433333333333334,4
20130307,1.7,6.525,5
20130308,0.55,2.85,2
20130311,0.1875,2.05,2
20130312,0.5,3.0,2
20130313,0.8181818181818181,3.25,2
20130314,0.5590909090909091,4.25,3
20130315,0.125,2.716666666666667,2
20130317,0.1233766233766234,1.2845238095238094,1
20130319,0.42500000000000004,4.05,3
20130320,0.0,3.0,2
20130321,0.0,2.5,2
20130322,0.45,5.2,4
20130325,1.375,5.225,4
20130326,0.0,1.0,1
20130327,0.875,2.6,2
20130401,0.875,2.6,2
20130402,0.3125,2.225,2
20130403,0.0,1.0,1
20130404,0.9,4.4,3
20130408,0.0,1.0,1
20130409,0.4375,1.8,1
20130410,0.875,5.666666666666666,5
20130411,0.45,2.9,2
20130412,0.0,2.0,1
20130415,0.9018939393939392,5.4772727272727275,4
20130417,0.0,3.0,2
20130418,0.09,1.1766666666666665,1
20130419,0.09375,4.6,3
20130422,0.6333333333333334,5.208333333333333,4
