data,preabe,premax,premin,premed,preult,preofc,preofv,ibov,dowjones
20130102,43.0,44.76,43.0,44.24,44.1,44.09,44.1,62550.1,13412.55
20130103,43.5,44.07,43.35,43.64,43.35,43.34,43.35,63312.46,13391.36
20130104,43.34,43.35,42.11,42.58,42.53,42.5,42.53,62523.06,13435.21
20130107,42.53,42.88,41.63,42.04,41.84,41.8,41.84,61932.54,13384.29
20130108,41.77,42.23,41.46,41.72,41.51,41.51,41.53,61127.84,13328.85
20130109,41.71,42.05,41.36,41.73,41.7,41.68,41.7,61578.58,13390.51
20130110,41.81,42.21,41.76,42.01,42.14,42.08,42.14,61678.31,13471.22
20130111,41.75,42.02,40.93,41.22,41.27,41.24,41.27,61497.43,13488.43
20130114,41.6,41.69,41.03,41.33,41.43,41.38,41.43,62080.79,13507.32
20130115,41.1,41.47,40.8,41.04,41.16,41.15,41.16,61727.61,13534.89
20130116,41.23,41.23,40.31,40.6,40.9,40.83,40.9,61787.35,13511.23
20130117,40.61,41.24,40.55,40.91,40.98,40.98,41.05,62194.06,13596.02
20130118,41.09,41.3,40.53,40.77,40.61,40.61,40.64,61956.14,13649.7
20130122,40.69,41.15,40.45,40.88,41.15,40.98,41.15,61692.29,13712.21
20130123,41.25,41.33,40.71,40.88,40.85,40.77,40.85,61966.26,13779.33
20130124,41.0,41.16,39.73,40.46,40.0,39.92,40.0,61169.83,13825.33
20130128,39.88,39.94,38.73,39.05,38.79,38.78,38.79,60027.07,13881.93
20130129,39.01,39.35,38.42,38.9,39.24,39.2,39.24,60406.33,13954.42
20130130,39.2,39.24,38.7,38.94,38.75,38.71,38.75,59336.7,13910.42
20130131,38.79,40.3,38.79,39.68,40.26,40.22,40.27,59761.49,13860.58
20130201,40.26,41.11,40.26,40.74,40.85,40.85,40.87,60351.16,14009.79
20130204,40.58,40.77,39.92,40.25,40.45,40.45,40.49,59575.66,13880.08
20130205,40.41,41.26,39.33,39.87,39.7,39.66,39.7,59444.97,13979.3
20130206,39.88,40.41,39.4,40.05,40.15,40.15,40.22,58951.07,13986.52
20130207,39.8,40.41,38.93,39.27,39.03,39.03,39.07,58372.46,13944.05
20130208,39.26,39.44,38.69,39.11,39.34,39.33,39.34,58497.83,13992.97
20130213,39.54,39.54,38.96,39.12,39.11,39.11,39.12,58405.74,13982.91
20130214,39.11,39.11,38.34,38.59,38.58,38.58,38.69,58077.31,13973.39
20130215,38.5,38.67,38.06,38.34,38.3,38.28,38.3,57903.3,13981.76
20130219,38.17,38.69,37.65,38.05,37.65,37.65,37.69,57314.4,14035.67
20130220,37.64,37.7,36.44,36.99,36.44,36.44,36.45,56177.6,13927.54
