data,preabe,premax,premin,premed,preult,preofc,preofv,ibov,aber_dol,fech_dol
20130102,43.0,44.76,43.0,44.24,44.1,44.09,44.1,62550.1,2.0409,2.0415
20130103,43.5,44.07,43.35,43.64,43.35,43.34,43.35,63312.46,2.0458,2.0464
20130104,43.34,43.35,42.11,42.58,42.53,42.5,42.53,62523.06,2.0419,2.0425
20130107,42.53,42.88,41.63,42.04,41.84,41.8,41.84,61932.54,2.0306,2.0312
20130108,41.77,42.23,41.46,41.72,41.51,41.51,41.53,61127.84,2.028,2.0286
20130109,41.71,42.05,41.36,41.73,41.7,41.68,41.7,61578.58,2.0411,2.0417
20130110,41.81,42.21,41.76,42.01,42.14,42.08,42.14,61678.31,2.0352,2.0358
20130111,41.75,42.02,40.93,41.22,41.27,41.24,41.27,61497.43,2.0335,2.0341
20130114,41.6,41.69,41.03,41.33,41.43,41.38,41.43,62080.79,2.0328,2.0334
20130115,41.1,41.47,40.8,41.04,41.16,41.15,41.16,61727.61,2.0368,2.0374
20130116,41.23,41.23,40.31,40.6,40.9,40.83,40.9,61787.35,2.0403,2.0409
20130117,40.61,41.24,40.55,40.91,40.98,40.98,41.05,62194.06,2.0405,2.0411
20130118,41.09,41.3,40.53,40.77,40.61,40.61,40.64,61956.14,2.0435,2.0441
20130121,40.69,40.77,40.29,40.49,40.58,40.41,40.58,61899.71,2.0415,2.042
20130122,40.69,41.15,40.45,40.88,41.15,40.98,41.15,61692.29,2.0466,2.0471
20130123,41.25,41.33,40.71,40.88,40.85,40.77,40.85,61966.26,2.0388,2.0394
20130124,41.0,41.16,39.73,40.46,40.0,39.92,40.0,61169.83,2.0338,2.0344
20130128,39.88,39.94,38.73,39.05,38.79,38.78,38.79,60027.07,2.0235,2.0241
20130129,39.01,39.35,38.42,38.9,39.24,39.2,39.24,60406.33,1.9906,1.9912
20130130,39.2,39.24,38.7,38.94,38.75,38.71,38.75,59336.7,1.9894,1.99
20130131,38.79,40.3,38.79,39.68,40.26,40.22,40.27,59761.49,1.9877,1.9883
20130201,40.26,41.11,40.26,40.74,40.85,40.85,40.87,60351.16,1.9838,1.9843
20130204,40.58,40.77,39.92,40.25,40.45,40.45,40.49,59575.66,1.9888,1.9893
20130205,40.41,41.26,39.33,39.87,39.7,39.66,39.7,59444.97,1.9875,1.9881
20130206,39.88,40.41,39.4,40.05,40.15,40.15,40.22,58951.07,1.9878,1.9884
20130207,39.8,40.41,38.93,39.27,39.03,39.03,39.07,58372.46,1.9783,1.9789
20130208,39.26,39.44,38.69,39.11,39.34,39.33,39.34,58497.83,1.963,1.9636
20130213,39.54,39.54,38.96,39.12,39.11,39.11,39.12,58405.74,1.9665,1.967
20130214,39.11,39.11,38.34,38.59,38.58,38.58,38.69,58077.31,1.966,1.9666
20130215,38.5,38.67,38.06,38.34,38.3,38.28,38.3,57903.3,1.9594,1.96
