data,preabe,premax,premin,premed,preult,preofc,preofv,selic
20130116,41.23,41.23,40.31,40.6,40.9,40.83,40.9,0.0725
20130117,40.61,41.24,40.55,40.91,40.98,40.98,41.05,0.0725
20130118,41.09,41.3,40.53,40.77,40.61,40.61,40.64,0.0725
20130121,40.69,40.77,40.29,40.49,40.58,40.41,40.58,0.0725
20130122,40.69,41.15,40.45,40.88,41.15,40.98,41.15,0.0725
20130123,41.25,41.33,40.71,40.88,40.85,40.77,40.85,0.0725
20130124,41.0,41.16,39.73,40.46,40.0,39.92,40.0,0.0725
20130128,39.88,39.94,38.73,39.05,38.79,38.78,38.79,0.0725
20130129,39.01,39.35,38.42,38.9,39.24,39.2,39.24,0.0725
20130130,39.2,39.24,38.7,38.94,38.75,38.71,38.75,0.0725
20130131,38.79,40.3,38.79,39.68,40.26,40.22,40.27,0.0725
20130201,40.26,41.11,40.26,40.74,40.85,40.85,40.87,0.0725
20130204,40.58,40.77,39.92,40.25,40.45,40.45,40.49,0.0725
20130205,40.41,41.26,39.33,39.87,39.7,39.66,39.7,0.0725
20130206,39.88,40.41,39.4,40.05,40.15,40.15,40.22,0.0725
20130207,39.8,40.41,38.93,39.27,39.03,39.03,39.07,0.0725
20130208,39.26,39.44,38.69,39.11,39.34,39.33,39.34,0.0725
20130213,39.54,39.54,38.96,39.12,39.11,39.11,39.12,0.0725
20130214,39.11,39.11,38.34,38.59,38.58,38.58,38.69,0.0725
20130215,38.5,38.67,38.06,38.34,38.3,38.28,38.3,0.0725
20130218,38.37,38.37,37.78,38.0,38.04,38.04,38.1,0.0725
20130219,38.17,38.69,37.65,38.05,37.65,37.65,37.69,0.0725
20130220,37.64,37.7,36.44,36.99,36.44,36.44,36.45,0.0725
20130221,36.01,36.7,35.79,36.21,36.7,36.09,36.7,0.0725
20130222,36.74,36.96,35.61,36.08,35.72,35.72,35.74,0.0725000000000002
20130225,35.82,36.23,35.59,35.87,35.88,35.88,36.0,0.0725000000000002
20130226,35.67,36.75,35.42,36.06,36.6,36.54,36.6,0.0725000000000002
20130227,36.79,37.0,35.94,36.48,37.0,36.92,37.0,0.0725000000000002
20130228,36.38,38.16,36.3,37.62,37.8,37.68,37.8,0.0725000000000003
20130301,37.01,37.44,36.67,36.95,36.75,36.74,36.75,0.0725000000000003
20130304,36.26,36.26,35.32,35.65,35.64,35.63,35.64,0.0725000000000003
20130305,36.0,36.23,35.45,35.77,35.45,35.45,35.58,0.0725000000000003
20130306,35.9,37.63,35.5,36.6,37.4,37.31,37.4,0.0725000000000003
20130307,37.7,38.07,37.05,37.49,37.38,37.3,37.38,0.0725000000000003
20130308,37.03,37.73,35.98,36.64,36.34,36.33,36.34,0.0725000000000003
20130311,36.49,36.81,35.82,36.4,36.67,36.6,36.67,0.0725000000000004
20130312,36.67,37.06,36.24,36.53,36.29,36.29,36.31,0.0725000000000004
20130313,36.25,36.34,34.86,35.39,34.86,34.86,34.95,0.0725000000000004
20130314,35.12,35.3,34.19,34.68,35.0,34.99,35.0,0.0725000000000004
20130315,35.11,35.55,34.73,34.99,34.73,34.73,34.86,0.0725000000000004
20130318,34.45,35.02,34.13,34.61,35.02,35.0,35.02,0.0725000000000004
20130319,34.36,34.51,33.5,33.81,33.58,33.58,33.6,0.0725000000000004
20130320,33.83,34.53,33.59,34.21,34.35,34.32,34.35,0.0725000000000004
20130321,34.27,34.7,33.9,34.37,34.64,34.41,34.64,0.0725000000000005
20130322,34.74,34.85,34.31,34.56,34.71,34.71,34.72,0.0725000000000005
20130325,34.8,34.8,33.83,34.24,34.25,34.2,34.25,0.0725000000000005
20130326,34.5,34.65,34.17,34.43,34.45,34.45,34.53,0.0725000000000005
20130327,34.41,35.13,33.95,34.77,35.13,35.13,35.14,0.0725000000000005
20130328,34.94,35.29,34.62,34.88,34.9,34.76,34.9,0.0725000000000005
20130401,34.81,34.92,33.94,34.18,33.94,33.94,34.0,0.0725000000000006
20130402,34.2,34.26,33.18,33.57,33.2,33.2,33.25,0.0725000000000006
20130403,33.18,35.35,33.06,34.29,35.35,35.1,35.35,0.0725000000000006
20130404,34.95,35.2,34.09,34.4,34.19,34.17,34.19,0.0725000000000006
20130405,33.74,34.83,33.44,34.29,34.56,34.55,34.56,0.0725000000000006
20130408,34.6,34.88,34.08,34.54,34.7,34.7,34.71,0.0725000000000006
20130409,34.99,36.6,34.99,36.11,36.19,36.18,36.26,0.0725000000000006
20130410,36.43,36.81,34.85,35.8,35.0,34.99,35.03,0.0725000000000006
20130411,35.15,35.29,33.89,34.3,34.14,34.14,34.18,0.0725000000000006
20130412,34.12,35.86,33.34,34.15,34.58,34.4,34.58,0.0725000000000006
20130415,33.55,33.86,32.46,32.94,32.46,32.46,32.6,0.0725000000000006
20130416,33.05,33.31,32.69,33.11,33.2,33.0,33.2,0.0725000000000006
20130417,31.7,32.46,31.07,31.69,32.46,32.44,32.46,0.0725000000000006
20130418,32.45,32.78,31.72,32.15,31.9,31.9,31.91,0.075
20130419,32.34,32.54,31.54,32.03,32.1,32.1,32.17,0.075
20130422,32.14,32.56,31.8,32.26,32.56,32.39,32.56,0.075
20130423,32.53,33.54,32.07,33.12,33.4,33.09,33.4,0.075
20130424,33.58,34.37,33.42,33.88,33.58,33.58,33.67,0.075
20130425,34.54,34.95,34.07,34.41,34.23,34.17,34.23,0.075
20130426,34.0,34.19,33.08,33.4,33.13,33.13,33.2,0.075
20130429,33.62,34.07,33.21,33.65,33.6,33.59,33.6,0.075
20130430,33.84,34.25,33.18,33.86,34.25,34.15,34.25,0.075
20130502,33.45,33.85,33.12,33.43,33.49,33.2,33.49,0.075
20130503,34.0,34.49,33.57,34.05,33.8,33.69,33.8,0.075
20130506,33.91,34.31,33.63,33.9,33.83,33.83,34.01,0.075
20130507,34.01,34.85,33.87,34.51,34.85,34.63,34.85,0.075
20130508,34.79,35.31,34.74,35.06,34.96,34.96,34.99,0.075
20130509,34.66,35.41,34.66,35.1,35.15,35.06,35.15,0.075
20130510,34.99,35.2,34.16,34.42,34.24,34.23,34.24,0.075
20130513,33.96,34.16,33.44,33.62,33.44,33.44,33.6,0.075
20130514,33.57,33.6,32.67,33.0,32.79,32.78,32.79,0.075
20130515,32.62,32.75,31.91,32.35,32.1,32.05,32.1,0.075
20130516,31.97,32.11,31.24,31.59,31.35,31.35,31.41,0.075
20130517,31.96,32.07,31.54,31.74,31.65,31.64,31.65,0.075
20130520,31.66,32.89,31.35,32.31,32.89,32.73,32.89,0.075
20130521,33.02,33.26,32.62,32.96,33.15,32.99,33.15,0.075
20130522,33.2,33.54,32.29,32.76,32.62,32.58,32.62,0.075
20130523,31.74,32.01,31.47,31.76,32.01,31.87,32.01,0.075
20130524,31.58,31.84,31.51,31.66,31.7,31.7,31.74,0.075
20130527,31.7,31.97,31.6,31.83,31.85,31.85,31.87,0.075
20130528,32.2,32.21,31.3,31.63,31.3,31.3,31.4,0.075
20130529,31.0,31.42,30.87,31.12,31.05,31.05,31.27,0.0749999999999999
20130531,31.55,31.67,30.34,30.82,30.45,30.45,30.48,0.08
20130603,30.86,31.64,30.79,31.23,31.6,31.6,31.61,0.08
20130604,32.0,32.08,31.13,31.67,32.0,32.0,32.05,0.08
20130605,31.65,31.97,30.83,31.26,30.92,30.92,30.94,0.08
20130606,30.95,31.28,30.44,30.82,31.28,31.2,31.28,0.08
