data,dowjones
20171229,24719.22
20171228,24837.51
20171227,24774.30
20171226,24746.21
20171222,24754.06
20171221,24782.29
20171220,24726.65
20171219,24754.75
20171218,24792.20
20171215,24651.74
20171214,24508.66
20171213,24585.43
20171212,24504.80
20171211,24386.03
20171208,24329.16
20171207,24211.48
20171206,24140.91
20171205,24180.64
20171204,24290.05
20171201,24231.59
20171130,24272.35
20171129,23940.68
20171128,23836.71
20171127,23580.78
20171124,23557.99
20171122,23526.18
20171121,23590.83
20171120,23430.33
20171117,23358.24
20171116,23458.36
20171115,23271.28
20171114,23409.47
20171113,23439.70
20171110,23422.21
20171109,23461.94
20171108,23563.36
20171107,23557.23
20171106,23548.42
20171103,23539.19
20171102,23516.26
20171101,23435.01
20171031,23377.24
20171030,23348.74
20171027,23434.19
20171026,23400.86
20171025,23329.46
20171024,23441.76
20171023,23273.96
20171020,23328.63
20171019,23163.04
20171018,23157.60
20171017,22997.44
20171016,22956.96
20171013,22871.72
20171012,22841.01
20171011,22872.89
20171010,22830.68
20171009,22761.07
20171006,22773.67
20171005,22775.39
20171004,22661.64
20171003,22641.67
20171002,22557.60
20170929,22405.09
20170928,22381.20
20170927,22340.71
20170926,22284.32
20170925,22296.09
20170922,22349.59
20170921,22359.23
20170920,22412.59
20170919,22370.80
20170918,22331.35
20170915,22268.34
20170914,22203.48
20170913,22158.18
20170912,22118.86
20170911,22057.37
20170908,21797.79
20170907,21784.78
20170906,21807.64
20170905,21753.31
20170901,21987.56
20170831,21948.10
20170830,21892.43
20170829,21865.37
20170828,21808.40
20170825,21813.67
20170824,21783.40
20170823,21812.09
20170822,21899.89
20170821,21703.75
20170818,21674.51
20170817,21750.73
20170816,22024.87
20170815,21998.99
20170814,21993.71
20170811,21858.32
20170810,21844.01
20170809,22048.70
20170808,22085.34
20170807,22118.42
20170804,22092.81
20170803,22026.10
20170802,22016.24
20170801,21963.92
20170731,21891.12
20170728,21830.31
20170727,21796.55
20170726,21711.01
20170725,21613.43
20170724,21513.17
20170721,21580.07
20170720,21611.78
20170719,21640.75
20170718,21574.73
20170717,21629.72
20170714,21637.74
20170713,21553.09
20170712,21532.14
20170711,21409.07
20170710,21408.52
20170707,21414.34
20170706,21320.04
20170705,21478.17
20170703,21479.27
20170630,21349.63
20170629,21287.03
20170628,21454.61
20170627,21310.66
20170626,21409.55
20170623,21394.76
20170622,21397.29
20170621,21410.03
20170620,21467.14
20170619,21528.99
20170616,21384.28
20170615,21359.90
20170614,21374.56
20170613,21328.47
20170612,21235.67
20170609,21271.97
20170608,21182.53
20170607,21173.69
20170606,21136.23
20170605,21184.04
20170602,21206.29
20170601,21144.18
20170531,21008.65
20170530,21029.47
20170526,21080.28
20170525,21082.95
20170524,21012.42
20170523,20937.91
20170522,20894.83
20170519,20804.84
20170518,20663.02
20170517,20606.93
20170516,20979.75
20170515,20981.94
20170512,20896.61
20170511,20919.42
20170510,20943.11
20170509,20975.78
20170508,21012.28
20170505,21006.94
20170504,20951.47
20170503,20957.90
20170502,20949.89
20170501,20913.46
20170428,20940.51
20170427,20981.33
20170426,20975.09
20170425,20996.12
20170424,20763.89
20170421,20547.76
20170420,20578.71
20170419,20404.49
20170418,20523.28
20170417,20636.92
20170413,20453.25
20170412,20591.86
20170411,20651.30
20170410,20658.02
20170407,20656.10
20170406,20662.95
20170405,20648.15
20170404,20689.24
20170403,20650.21
20170331,20663.22
20170330,20728.49
20170329,20659.32
20170328,20701.50
20170327,20550.98
20170324,20596.72
20170323,20656.58
20170322,20661.30
20170321,20668.01
20170320,20905.86
20170317,20914.62
20170316,20934.55
20170315,20950.10
20170314,20837.37
20170313,20881.48
20170310,20902.98
20170309,20858.19
20170308,20855.73
20170307,20924.76
20170306,20954.34
20170303,21005.71
20170302,21002.97
20170301,21115.55
20170228,20812.24
20170227,20837.44
20170224,20821.76
20170223,20810.32
20170222,20775.60
20170221,20743.00
20170217,20624.05
20170216,20619.77
20170215,20611.86
20170214,20504.41
20170213,20412.16
20170210,20269.37
20170209,20172.40
20170208,20054.34
20170207,20090.29
20170206,20052.42
20170203,20071.46
20170202,19884.91
20170201,19890.94
20170131,19864.09
20170130,19971.13
20170127,20093.78
20170126,20100.91
20170125,20068.51
20170124,19912.71
20170123,19799.85
20170120,19827.25
20170119,19732.40
20170118,19804.72
20170117,19826.77
20170113,19885.73
20170112,19891.00
20170111,19954.28
20170110,19855.53
20170109,19887.38
20170106,19963.80
20170105,19899.29
20170104,19942.16
20170103,19881.76
20161230,19762.60
20161229,19819.78
20161228,19833.68
20161227,19945.04
20161223,19933.81
20161222,19918.88
20161221,19941.96
20161220,19974.62
20161219,19883.06
20161216,19843.41
20161215,19852.24
20161214,19792.53
20161213,19911.21
20161212,19796.43
20161209,19756.85
