data,abertura,fechamento
20130102,2.0409,2.0415
20130103,2.0458,2.0464
20130104,2.0419,2.0425
20130107,2.0306,2.0312
20130108,2.0280,2.0286
20130109,2.0411,2.0417
20130110,2.0352,2.0358
20130111,2.0335,2.0341
20130114,2.0328,2.0334
20130115,2.0368,2.0374
20130116,2.0403,2.0409
20130117,2.0405,2.0411
20130118,2.0435,2.0441
20130121,2.0415,2.0420
20130122,2.0466,2.0471
20130123,2.0388,2.0394
20130124,2.0338,2.0344
20130125,2.0277,2.0285
20130128,2.0235,2.0241
20130129,1.9906,1.9912
20130130,1.9894,1.9900
20130131,1.9877,1.9883
20130201,1.9838,1.9843
20130204,1.9888,1.9893
20130205,1.9875,1.9881
20130206,1.9878,1.9884
20130207,1.9783,1.9789
20130208,1.9630,1.9636
20130213,1.9665,1.9670
20130214,1.9660,1.9666
20130215,1.9594,1.9600
20130218,1.9670,1.9676
20130219,1.9591,1.9597
20130220,1.9564,1.9570
20130221,1.9715,1.9720
20130222,1.9699,1.9705
20130225,1.9670,1.9676
20130226,1.9812,1.9818
20130227,1.9801,1.9807
20130228,1.9749,1.9754
20130301,1.9843,1.9848
20130304,1.9822,1.9827
20130305,1.9688,1.9693
20130306,1.9668,1.9673
20130307,1.9636,1.9642
20130308,1.9522,1.9528
20130311,1.9546,1.9552
20130312,1.9579,1.9585
20130313,1.9614,1.9619
20130314,1.9671,1.9676
20130315,1.9743,1.9749
20130318,1.9865,1.9871
20130319,1.9824,1.9830
20130320,1.9862,1.9868
20130321,1.9925,1.9931
20130322,2.0120,2.0126
20130325,2.0134,2.0140
20130326,2.0081,2.0087
20130327,2.0179,2.0185
20130328,2.0132,2.0138
20130401,2.0180,2.0186
20130402,2.0173,2.0179
20130403,2.0233,2.0239
20130404,2.0195,2.0201
20130405,2.0029,2.0035
20130408,1.9897,1.9902
20130409,1.9855,1.9861
20130410,1.9804,1.9810
20130411,1.9731,1.9736
20130412,1.9755,1.9761
20130415,1.9784,1.9790
20130416,1.9897,1.9903
20130417,1.9933,1.9939
20130418,2.0146,2.0152
20130419,2.0084,2.0089
20130422,2.0148,2.0154
20130423,2.0164,2.0170
20130424,2.0238,2.0244
20130425,2.0114,2.0119
20130426,1.9995,2.0001
20130429,1.9993,1.9999
20130430,2.0011,2.0017
20130502,2.0089,2.0095
20130503,2.0088,2.0093
20130506,2.0137,2.0143
20130507,2.0104,2.0110
20130508,2.0024,2.0030
20130509,2.0046,2.0051
20130510,2.0225,2.0231
20130513,2.0144,2.0150
20130514,2.0057,2.0063
20130515,2.0227,2.0233
20130516,2.0249,2.0254
20130517,2.0348,2.0354
20130520,2.0328,2.0333
20130521,2.0396,2.0402
20130522,2.0381,2.0387
20130523,2.0531,2.0537
20130524,2.0489,2.0495
20130527,2.0521,2.0527
20130528,2.0610,2.0616
20130529,2.0888,2.0894
20130531,2.1314,2.1319
20130603,2.1349,2.1355
20130604,2.1276,2.1282
20130605,2.1229,2.1235
20130606,2.1244,2.1250
20130607,2.1367,2.1372
20130610,2.1501,2.1506
20130611,2.1515,2.1521
20130612,2.1415,2.1420
20130613,2.1441,2.1447
20130614,2.1361,2.1367
20130617,2.1532,2.1538
20130618,2.1700,2.1706
20130619,2.1738,2.1744
20130620,2.2517,2.2523
20130621,2.2642,2.2648
20130624,2.2509,2.2515
20130625,2.2180,2.2185
20130626,2.1969,2.1975
