data,Último
20171228,76402.08
20171227,76072.54
20171226,75707.73
20171222,75186.53
20171221,75133.43
20171220,73367.03
20171219,72680.37
20171218,73115.45
20171215,72607.70
20171214,72428.93
20171213,72914.33
20171212,73813.53
20171211,72800.04
20171208,72731.84
20171207,72487.46
20171206,73268.35
20171205,72546.17
20171204,73090.17
20171201,72264.45
20171130,71970.99
20171129,72700.45
20171128,74139.72
20171127,74058.92
20171124,74157.37
20171123,74486.58
20171122,74518.79
20171121,74594.61
20171117,73437.28
20171116,72511.79
20171114,70826.59
20171113,72475.17
20171110,72165.64
20171109,72930.69
20171108,74363.13
20171107,72414.88
20171106,74310.79
20171103,73915.43
20171101,73823.74
20171031,74308.49
20171030,74800.33
20171027,75975.71
20171026,75896.35
20171025,76671.13
20171024,76350.19
20171023,75413.13
20171020,76390.51
20171019,76283.16
20171018,76591.09
20171017,76201.25
20171016,76891.84
20171013,76989.79
20171011,76659.80
20171010,76897.21
20171009,75726.81
20171006,76054.72
20171005,76617.53
20171004,76591.44
20171003,76762.91
20171002,74359.83
20170929,74293.51
20170928,73567.25
20170927,73796.71
20170926,74318.72
20170925,74443.47
20170922,75389.75
20170921,75604.34
20170920,76004.15
20170919,75974.18
20170918,75990.41
20170915,75756.52
20170914,74656.68
20170913,74787.57
20170912,74538.55
20170911,74319.22
20170908,73078.85
20170906,73412.41
20170905,72150.88
20170904,72128.83
20170901,71923.11
20170831,70835.05
20170830,70886.26
20170829,71329.85
20170828,71016.59
20170825,71073.65
20170824,71132.80
20170823,70477.63
20170822,70011.25
20170821,68634.65
20170818,68714.66
20170817,67976.80
20170816,68594.29
20170815,68355.12
20170814,68284.66
20170811,67358.59
20170810,66992.09
20170809,67671.07
20170808,67898.94
20170807,67939.66
20170804,66897.99
20170803,66777.13
20170802,67135.99
20170801,66516.24
20170731,65920.36
20170728,65497.13
20170727,65277.38
20170726,65010.57
20170725,65667.62
20170724,65099.55
20170721,64684.18
20170720,64938.02
20170719,65179.92
20170718,65337.67
20170717,65212.31
20170714,65436.18
20170713,65178.35
20170712,64835.55
20170711,63832.15
20170710,63025.47
20170707,62322.40
20170706,62470.33
20170705,63154.17
20170704,63231.59
20170703,63279.58
20170630,62899.97
20170629,62238.95
20170628,62017.97
20170627,61675.46
20170626,62188.09
20170623,61087.14
20170622,61272.22
20170621,60761.74
20170620,60766.16
20170619,62014.03
20170616,61626.41
20170614,61922.93
20170613,61828.99
20170612,61700.23
20170609,62210.56
20170608,62755.57
20170607,63170.73
20170606,62954.69
20170605,62450.45
20170602,62510.69
20170601,62288.52
20170531,62711.47
20170530,63962.26
20170529,63760.94
20170526,64085.41
20170525,63226.79
20170524,63257.36
20170523,62662.48
20170522,61673.49
20170519,62639.31
20170518,61597.06
20170517,67540.25
20170516,68684.50
20170515,68474.19
20170512,68221.94
20170511,67537.61
20170510,67349.73
20170509,66277.67
20170508,65526.04
20170505,65709.74
20170504,64862.61
20170503,66093.78
20170502,66721.75
20170428,65403.25
20170427,64676.55
20170426,64861.92
20170425,65148.35
20170424,64389.01
20170420,63760.62
20170419,63406.97
20170418,64158.84
20170417,64334.93
20170413,62826.28
20170412,63891.68
20170411,64359.79
20170410,64649.81
20170407,64593.10
20170406,64222.72
20170405,64774.76
20170404,65768.91
20170403,65211.48
20170331,64984.07
20170330,65265.98
20170329,65528.29
20170328,64640.45
20170327,64308.39
20170324,63853.77
20170323,63530.79
20170322,63521.33
