data,valor
20130116,0.0725
20130117,0.0725
20130118,0.0725
20130119,0.0725
20130120,0.0725
20130121,0.0725
20130122,0.0725
20130123,0.0725
20130124,0.0725
20130125,0.0725
20130126,0.0725
20130127,0.0725
20130128,0.0725
20130129,0.0725
20130130,0.0725
20130131,0.0725
20130201,0.0725
20130202,0.0725
20130203,0.0725
20130204,0.0725
20130205,0.0725
20130206,0.0725
20130207,0.0725
20130208,0.0725
20130209,0.0725
20130210,0.0725
20130211,0.0725
20130212,0.0725
20130213,0.0725
20130214,0.0725
20130215,0.0725
20130216,0.0725
20130217,0.0725
20130218,0.0725
20130219,0.0725
20130220,0.0725
20130221,0.0725
20130222,0.0725000000000002
20130223,0.0725000000000002
20130224,0.0725000000000002
20130225,0.0725000000000002
20130226,0.0725000000000002
20130227,0.0725000000000002
20130228,0.0725000000000003
20130301,0.0725000000000003
20130302,0.0725000000000003
20130303,0.0725000000000003
20130304,0.0725000000000003
20130305,0.0725000000000003
20130306,0.0725000000000003
20130307,0.0725000000000003
20130308,0.0725000000000003
20130309,0.0725000000000003
20130310,0.0725000000000003
20130311,0.0725000000000004
20130312,0.0725000000000004
20130313,0.0725000000000004
20130314,0.0725000000000004
20130315,0.0725000000000004
20130316,0.0725000000000004
20130317,0.0725000000000004
20130318,0.0725000000000004
20130319,0.0725000000000004
20130320,0.0725000000000004
20130321,0.0725000000000005
20130322,0.0725000000000005
20130323,0.0725000000000005
20130324,0.0725000000000005
20130325,0.0725000000000005
20130326,0.0725000000000005
20130327,0.0725000000000005
20130328,0.0725000000000005
20130329,0.0725000000000005
20130330,0.0725000000000006
20130331,0.0725000000000006
20130401,0.0725000000000006
20130402,0.0725000000000006
20130403,0.0725000000000006
20130404,0.0725000000000006
20130405,0.0725000000000006
20130406,0.0725000000000006
20130407,0.0725000000000006
20130408,0.0725000000000006
20130409,0.0725000000000006
20130410,0.0725000000000006
20130411,0.0725000000000006
20130412,0.0725000000000006
20130413,0.0725000000000006
20130414,0.0725000000000006
20130415,0.0725000000000006
20130416,0.0725000000000006
20130417,0.0725000000000006
20130418,0.075
20130419,0.075
20130420,0.075
20130421,0.075
20130422,0.075
20130423,0.075
20130424,0.075
20130425,0.075
