data,preabe,premax,premin,premed,preult,preofc,preofv
20130102,43.00,44.76,43.00,44.24,44.10,44.09,44.10
20130103,43.50,44.07,43.35,43.64,43.35,43.34,43.35
20130104,43.34,43.35,42.11,42.58,42.53,42.50,42.53
20130107,42.53,42.88,41.63,42.04,41.84,41.80,41.84
20130108,41.77,42.23,41.46,41.72,41.51,41.51,41.53
20130109,41.71,42.05,41.36,41.73,41.70,41.68,41.70
20130110,41.81,42.21,41.76,42.01,42.14,42.08,42.14
20130111,41.75,42.02,40.93,41.22,41.27,41.24,41.27
20130114,41.60,41.69,41.03,41.33,41.43,41.38,41.43
20130115,41.10,41.47,40.80,41.04,41.16,41.15,41.16
20130116,41.23,41.23,40.31,40.60,40.90,40.83,40.90
20130117,40.61,41.24,40.55,40.91,40.98,40.98,41.05
20130118,41.09,41.30,40.53,40.77,40.61,40.61,40.64
20130121,40.69,40.77,40.29,40.49,40.58,40.41,40.58
20130122,40.69,41.15,40.45,40.88,41.15,40.98,41.15
20130123,41.25,41.33,40.71,40.88,40.85,40.77,40.85
20130124,41.00,41.16,39.73,40.46,40.00,39.92,40.00
20130128,39.88,39.94,38.73,39.05,38.79,38.78,38.79
20130129,39.01,39.35,38.42,38.90,39.24,39.20,39.24
20130130,39.20,39.24,38.70,38.94,38.75,38.71,38.75
20130131,38.79,40.30,38.79,39.68,40.26,40.22,40.27
20130201,40.26,41.11,40.26,40.74,40.85,40.85,40.87
20130204,40.58,40.77,39.92,40.25,40.45,40.45,40.49
20130205,40.41,41.26,39.33,39.87,39.70,39.66,39.70
20130206,39.88,40.41,39.40,40.05,40.15,40.15,40.22
20130207,39.80,40.41,38.93,39.27,39.03,39.03,39.07
20130208,39.26,39.44,38.69,39.11,39.34,39.33,39.34
20130213,39.54,39.54,38.96,39.12,39.11,39.11,39.12
20130214,39.11,39.11,38.34,38.59,38.58,38.58,38.69
20130215,38.50,38.67,38.06,38.34,38.30,38.28,38.30
20130218,38.37,38.37,37.78,38.00,38.04,38.04,38.10
20130219,38.17,38.69,37.65,38.05,37.65,37.65,37.69
20130220,37.64,37.70,36.44,36.99,36.44,36.44,36.45
20130221,36.01,36.70,35.79,36.21,36.70,36.09,36.70
20130222,36.74,36.96,35.61,36.08,35.72,35.72,35.74
20130225,35.82,36.23,35.59,35.87,35.88,35.88,36.00
20130226,35.67,36.75,35.42,36.06,36.60,36.54,36.60
20130227,36.79,37.00,35.94,36.48,37.00,36.92,37.00
20130228,36.38,38.16,36.30,37.62,37.80,37.68,37.80
